ISO,ID,Reg_ID,Reg_name,impf_RF
ABW,1,2,CAR,6
AFG,2,6,SWA,2
AGO,3,13,SAF,1
AIA,4,2,CAR,6
ALB,5,11,EUR,3
AND,6,11,EUR,3
ANT,7,2,CAR,6
ARE,8,15,ARA,2
ARG,9,4,LAS,6
ARM,10,9,EUA,2
ASM,11,10,PIS2,5
ATG,12,2,CAR,6
AUS,13,10,AUS,5
AUT,14,11,EUR,3
AZE,15,9,EUA,2
BDI,16,5,SSA,1
BEL,17,11,EUR,3
BEN,18,5,SSA,1
BFA,19,5,SSA,1
BGD,20,6,SWA,2
BGR,21,9,EUA,3
BHR,22,15,ARA,2
BHS,23,2,CAR,6
BIH,24,11,EUR,3
BLR,25,9,EUA,3
BLZ,26,2,CAR,6
BMU,27,2,CAR,6
BOL,28,3,LAN,6
BRA,29,3,LAN,6
BRB,30,2,CAR,6
BRN,31,7,SEA,2
BTN,32,6,SWA,2
BWA,33,13,SAF,1
CAF,34,5,SSA,1
CAN,35,1,NAM,4
CHE,36,11,EUR,3
CHL,37,4,LAS,6
CHN,38,8,CHN,2
CIV,39,5,SSA,1
CMR,40,5,SSA,1
COD,41,5,SSA,1
COG,42,5,SSA,1
COK,43,10,PIS2,5
COL,44,3,LAN,6
COM,45,5,SSA,1
CPV,46,5,SSA,1
CRI,47,2,CAR,6
CUB,48,2,CAR,6
CYM,49,2,CAR,6
CYP,50,0,,2
CZE,51,11,EUR,3
DEU,52,11,EUR,3
DJI,53,15,ARA,2
DMA,54,2,CAR,6
DNK,55,11,EUR,3
DOM,56,2,CAR,6
DZA,57,12,NAF,1
ECU,58,3,LAN,6
EGY,59,12,NAF,1
ERI,60,5,SSA,1
ESP,61,11,EUR,3
EST,62,9,EUA,3
ETH,63,5,SSA,1
FIN,64,11,EUR,3
FJI,65,10,PIS1,5
FLK,66,4,LAS,6
FRA,67,11,EUR,3
FRO,68,11,EUR,3
FSM,69,10,PIS1,5
GAB,70,5,SSA,1
GBR,71,11,EUR,3
GEO,72,9,EUA,2
GGY,73,11,EUR,3
GHA,74,5,SSA,1
GIB,75,11,EUR,3
GIN,76,5,SSA,1
GLP,77,2,CAR,6
GMB,78,5,SSA,1
GNB,79,5,SSA,1
GNQ,80,5,SSA,1
GRC,81,11,EUR,3
GRD,82,2,CAR,6
GTM,83,2,CAR,6
GUF,84,3,LAN,6
GUM,85,10,PIS1,5
GUY,86,3,LAN,6
HKG,87,8,CHN,2
HND,88,2,CAR,6
HRV,89,11,EUR,3
HTI,90,2,CAR,6
HUN,91,11,EUR,3
IDN,92,7,SEA,2
IMN,93,11,EUR,3
IND,94,6,SWA,2
IRL,95,11,EUR,3
IRN,96,15,ARA,2
IRQ,97,15,ARA,2
ISL,98,11,EUR,3
ISR,99,15,ARA,2
ITA,100,11,EUR,3
JAM,101,2,CAR,6
JEY,102,11,EUR,3
JOR,103,15,ARA,2
JPN,104,8,CHN,2
KAZ,105,14,CAS,2
KEN,106,5,SSA,1
KGZ,107,14,CAS,2
KHM,108,7,SEA,2
KIR,109,10,PIS1,5
KNA,110,2,CAR,6
KOR,111,8,CHN,2
KWT,112,15,ARA,2
LAO,113,7,SEA,2
LBN,114,15,ARA,2
LBR,115,5,SSA,1
LBY,116,12,NAF,1
LCA,117,2,CAR,6
LIE,118,11,EUR,3
LKA,119,6,SWA,2
LSO,120,13,SAF,1
LTU,121,9,EUA,3
LUX,122,11,EUR,3
LVA,123,9,EUA,3
MAC,124,0,,2
MAR,125,12,NAF,1
MCO,126,0,,3
MDA,127,9,EUA,3
MDG,128,5,SSA,1
MDV,129,6,SWA,2
MEX,130,2,CAR,6
MHL,131,10,PIS1,5
MKD,132,9,EUA,3
MLI,133,5,SSA,1
MLT,134,11,EUR,3
MMR,135,6,SWA,2
MNG,136,14,CAS,2
MNP,137,10,PIS1,5
MOZ,138,5,SSA,1
MRT,139,5,SSA,1
MSR,140,2,CAR,6
MTQ,141,2,CAR,6
MUS,142,0,,1
MWI,143,5,SSA,1
MYS,144,7,SEA,2
MYT,145,5,SSA,1
NAM,146,13,SAF,1
NCL,147,10,PIS1,5
NER,148,5,SSA,1
NFK,149,10,PIS1,5
NGA,150,5,SSA,1
NIC,151,2,CAR,6
NIU,152,10,PIS2,5
NLD,153,11,EUR,3
NOR,154,11,EUR,3
NPL,155,6,SWA,2
NRU,156,10,PIS1,5
NZL,157,10,AUS,5
OMN,158,15,ARA,2
PAK,159,6,SWA,2
PAN,160,2,CAR,6
PCN,161,10,PIS2,5
PER,162,3,LAN,6
PHL,163,7,SEA,2
PLW,164,0,,5
PNG,165,7,SEA,2
POL,166,11,EUR,3
PRI,167,2,CAR,6
PRK,168,8,CHN,2
PRT,169,11,EUR,3
PRY,170,4,LAS,6
PSE,171,15,ARA,2
PYF,172,10,PIS2,5
QAT,173,15,ARA,2
REU,174,0,,3
ROU,175,9,EUA,3
RUS,176,9,EUA,3
RWA,177,5,SSA,1
SAU,178,15,ARA,2
SCG,179,11,EUR,3
SDN,180,5,SSA,1
SEN,181,5,SSA,1
SGP,182,7,SEA,2
SHN,183,13,SAF,1
SJM,184,11,EUR,3
SLB,185,10,PIS1,5
SLE,186,5,SSA,1
SLV,187,2,CAR,6
SMR,188,0,,3
SOM,189,5,SSA,1
SPM,190,0,,6
STP,191,5,SSA,1
SUR,192,3,LAN,6
SVK,193,11,EUR,3
SVN,194,11,EUR,3
SWE,195,11,EUR,3
SWZ,196,13,SAF,1
SYC,197,0,,3
SYR,198,15,ARA,2
TCA,199,2,CAR,6
TCD,200,5,SSA,1
TGO,201,5,SSA,1
THA,202,7,SEA,2
TJK,203,14,CAS,2
TKL,204,10,PIS2,5
TKM,205,15,ARA,2
TLS,206,7,SEA,2
TON,207,10,PIS2,5
TTO,208,3,LAN,6
TUN,209,12,NAF,1
TUR,210,15,ARA,2
TUV,211,10,PIS1,5
TWN,212,8,CHN,2
TZA,213,5,SSA,1
UGA,214,5,SSA,1
UKR,215,9,EUA,3
URY,216,4,LAS,6
USA,217,1,NAM,4
UZB,218,14,CAS,2
VCT,219,2,CAR,6
VEN,220,3,LAN,6
VGB,221,2,CAR,6
VIR,222,2,CAR,6
VNM,223,7,SEA,2
VUT,224,10,PIS1,5
WLF,225,10,PIS2,5
WSM,226,10,PIS2,5
YEM,227,15,ARA,2
ZAF,228,13,SAF,1
ZMB,229,5,SSA,1
ZWE,230,5,SSA,1
