country_name,country_iso3,NFW-to-GDP-ratio,TW-to-GDP-ratio
Albania,ALB,1.60900,1.81590
Algeria,DZA,0.95098,1.15734
Angola,AGO,0.93663,1.57238
Antigua and Barbuda,ATG,0.85917,1.00646
Argentina,ARG,0.83124,0.93459
Armenia,ARM,1.00960,1.17442
Australia,AUS,4.11734,5.48251
Austria,AUT,2.46175,3.69396
Azerbaijan,AZE,1.54334,1.87981
Bahamas,BHS,0.76747,1.01410
Bahrain,BHR,0.70406,0.96437
Bangladesh,BGD,0.77278,1.14312
Barbados,BRB,0.70078,0.98385
Belarus,BLR,0.15392,0.17839
Belgium,BEL,2.53942,4.88758
Belize,BLZ,1.00064,1.23658
Benin,BEN,1.14745,1.84332
Bolivia,BOL,0.91936,0.99444
Bosnia and Herzegovina,BIH,1.79752,1.97666
Botswana,BWA,0.34855,0.68988
Brazil,BRA,1.06972,1.45124
Brunei,BRN,0.87862,1.14654
Bulgaria,BGR,0.98785,1.71130
Burkina Faso,BFA,0.46165,0.93907
Burundi,BDI,0.27620,0.58809
Cambodia,KHM,1.18653,1.66444
Cameroon,CMR,0.40275,0.86197
Canada,CAN,2.82483,4.48504
Central African Republic,CAF,0.46128,1.16491
Chad,TCD,0.24515,0.57181
Chile,CHL,1.42105,2.64327
China,CHN,1.39699,2.43607
Colombia,COL,1.98725,2.25350
Comoros,COM,1.27805,1.89058
Democratic Republic of the Congo,COD,0.17671,0.42705
Congo,COG,0.49666,0.86691
Costa Rica,CRI,1.38671,1.80969
Cote dIvoire,CIV,0.50925,0.95137
Croatia,HRV,0.99653,1.57497
Cyprus,CYP,2.96661,4.25699
Czech Republic,CZE,1.40102,2.02836
Denmark,DNK,2.08237,3.71904
Djibouti,DJI,0.63834,1.16433
Dominica,DMA,1.70974,2.00333
Ecuador,ECU,1.31208,1.27757
Egypt,EGY,0.83176,1.05168
El Salvador,SLV,1.86946,2.03544
Equatorial Guinea,GNQ,0.23688,0.52548
Eritrea,ERI,0.97746,1.49709
Estonia,EST,1.10820,1.75868
Ethiopia,ETH,0.06025,0.09823
Fiji,FJI,0.52596,0.70650
Finland,FIN,2.02825,2.62997
France,FRA,3.33382,4.86140
Gabon,GAB,0.73180,1.12627
Gambia,GMB,0.48168,0.83908
Georgia,GEO,3.32308,4.16164
Germany,DEU,2.44278,3.64152
Ghana,GHA,0.15823,0.29519
Greece,GRC,4.33580,4.91365
Grenada,GRD,0.89037,1.09244
Guinea,GIN,0.32743,0.57737
Guinea-Bissau,GNB,0.13110,0.32849
Guyana,GUY,0.63574,0.66378
Haiti,HTI,2.11702,2.23902
Hong Kong,HKG,2.07326,3.42600
Hungary,HUN,1.25523,2.16105
Iceland,ISL,4.27850,5.33966
India,IND,1.88086,2.00345
Indonesia,IDN,1.77683,1.89452
Iran,IRN,0.40076,0.51393
Ireland,IRL,1.84336,2.58355
Israel,ISR,0.99840,2.86185
Italy,ITA,3.56756,5.45858
Jamaica,JAM,1.18995,1.27575
Japan,JPN,2.25484,5.10768
Jordan,JOR,1.65906,1.66726
Kazakhstan,KAZ,0.35317,0.35742
Kenya,KEN,0.25139,0.59351
Korea,KOR,3.35981,4.46894
Kuwait,KWT,1.75938,2.53704
Kyrgyzstan,KGZ,2.06533,2.60921
Laos,LAO,0.97396,1.27535
Latvia,LVA,0.64303,1.39336
Lebanon,LBN,1.40262,1.93945
Lesotho,LSO,0.35874,1.40405
Liberia,LBR,1.39860,2.22570
Libya,LBY,,
Lithuania,LTU,0.78454,1.35184
Luxembourg,LUX,1.45266,2.22430
Macedonia,MKD,1.34401,1.34563
Madagascar,MDG,0.27116,0.38637
Malawi,MWI,0.06249,0.15987
Malaysia,MYS,1.20327,1.64793
Maldives,MDV,0.33654,0.37372
Mali,MLI,0.22043,0.46605
Malta,MLT,1.77699,3.53455
Mauritania,MRT,0.41337,0.62315
Mauritius,MUS,1.94298,2.74313
Mexico,MEX,1.46049,1.57897
Moldova,MDA,0.81902,1.24412
Mongolia,MNG,2.15345,2.74351
Montenegro,MNE,1.70224,2.01830
Morocco,MAR,1.73613,2.29522
Mozambique,MOZ,0.20003,0.47394
Myanmar,MMR,0.87588,0.87903
Namibia,NAM,0.88332,1.63650
Nepal,NPL,1.17025,1.69987
Netherlands,NLD,1.30987,3.39537
New Zealand,NZL,3.68045,5.56599
Nicaragua,NIC,0.89594,0.92330
Niger,NER,0.45515,0.96652
Nigeria,NGA,0.21136,0.40639
Norway,NOR,3.04546,3.26415
Oman,OMN,1.05352,1.58496
Pakistan,PAK,1.32012,1.88186
Panama,PAN,0.69219,1.03768
Papua New Guinea,PNG,0.87298,1.67400
Paraguay,PRY,1.42619,1.49985
Peru,PER,2.46386,2.64624
Philippines,PHL,1.29374,1.99223
Poland,POL,1.02977,1.54414
Portugal,PRT,2.19547,3.42138
Qatar,QAT,0.71557,1.39351
Romania,ROU,0.78863,1.28827
Russia,RUS,1.26726,1.31564
Rwanda,RWA,0.22223,0.49951
Samoa,WSM,2.64548,2.86638
Sao Tome and Principe,STP,0.35069,0.68652
Saudi Arabia,SAU,0.75036,1.12656
Senegal,SEN,0.65464,1.19616
Serbia,SRB,1.06692,1.32697
Seychelles,SYC,1.66036,2.43325
Sierra Leone,SLE,0.17941,0.47904
Singapore,SGP,2.10049,3.90530
Slovakia,SVK,0.88173,1.28003
Slovenia,SVN,1.50762,2.18263
Solomon Islands,SLB,2.02993,2.69253
South Africa,ZAF,0.94227,2.23873
Spain,ESP,2.50965,3.60193
Sri Lanka,LKA,0.53274,0.85917
Saint Lucia,LCA,0.94289,1.09716
Saint Vincent and the Grenadines,VCT,1.16709,1.13022
Sudan,SDN,0.18457,0.29532
Suriname,SUR,0.73656,0.79024
Swaziland,SWZ,0.15636,0.54679
Sweden,SWE,1.59733,3.44144
Switzerland,CHE,2.95948,5.21794
Syria,SYR,,
Taiwan,TWN,2.44670,6.00138
Tajikistan,TJK,1.03822,1.27833
Tanzania,TZA,0.19845,0.43332
Thailand,THA,0.79570,0.99850
Togo,TGO,1.34945,2.07438
Tonga,TON,1.58393,1.83147
Trinidad and Tobago,TTO,0.36319,0.67767
Tunisia,TUN,2.06298,3.14550
Turkey,TUR,1.01903,1.31498
Turkmenistan,TKM,0.70678,0.83727
Uganda,UGA,0.21253,0.46577
Ukraine,UKR,0.52861,0.48111
United Arab Emirates,ARE,1.26455,1.69382
United Kingdom,GBR,2.97009,5.32645
United States,USA,1.49579,4.56456
Uruguay,URY,1.38601,1.68545
Vanuatu,VUT,1.01814,1.09894
Venezuela,VEN,0.29407,0.35328
Vietnam,VNM,1.23241,1.66724
Yemen,YEM,1.18584,1.76063
Zambia,ZMB,0.10663,0.32193
Zimbabwe,ZWE,0.20161,1.65566