Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QC,Crops,255,Belgium,5510,Production,56,Maize,2009,2009,tonnes,807866,,Official data,
QC,Crops,255,Belgium,5510,Production,56,Maize,2010,2010,tonnes,745891,,Official data,
QC,Crops,255,Belgium,5510,Production,56,Maize,2011,2011,tonnes,859692,,Official data,
QC,Crops,255,Belgium,5510,Production,56,Maize,2012,2012,tonnes,701700,,Official data,
QC,Crops,255,Belgium,5510,Production,56,Maize,2013,2013,tonnes,826984,,Official data,
QC,Crops,255,Belgium,5510,Production,56,Maize,2014,2014,tonnes,662700,,Official data,
QC,Crops,255,Belgium,5510,Production,56,Maize,2015,2015,tonnes,597169,,Official data,
QC,Crops,255,Belgium,5510,Production,56,Maize,2016,2016,tonnes,480496,,Official data,
QC,Crops,255,Belgium,5510,Production,56,Maize,2017,2017,tonnes,608671,,Official data,
QC,Crops,255,Belgium,5510,Production,56,Maize,2018,2018,tonnes,442995,,Official data,
QC,Crops,150,Netherlands,5510,Production,56,Maize,2009,2009,tonnes,244911,,Official data,
QC,Crops,150,Netherlands,5510,Production,56,Maize,2010,2010,tonnes,196903,,Official data,
QC,Crops,150,Netherlands,5510,Production,56,Maize,2011,2011,tonnes,204400,,Official data,
QC,Crops,150,Netherlands,5510,Production,56,Maize,2012,2012,tonnes,191363,,Official data,
QC,Crops,150,Netherlands,5510,Production,56,Maize,2013,2013,tonnes,185284,,Official data,
QC,Crops,150,Netherlands,5510,Production,56,Maize,2014,2014,tonnes,173066,,Official data,
QC,Crops,150,Netherlands,5510,Production,56,Maize,2015,2015,tonnes,121114,,Official data,
QC,Crops,150,Netherlands,5510,Production,56,Maize,2016,2016,tonnes,84641,,Official data,
QC,Crops,150,Netherlands,5510,Production,56,Maize,2017,2017,tonnes,116711,,Official data,
QC,Crops,150,Netherlands,5510,Production,56,Maize,2018,2018,tonnes,84894,,Official data,